source_viewport,tag,source_classes,observed_width,observed_height,font_size,font_weight,line_height,padding,gap,radius,overflow_y
1363x936,DIV,app-shell,1363,936,16px,400,24px,0px,normal,0px,visible
1363x936,HEADER,app-header,1363,98,16px,400,24px,0px,normal,0px,visible
1363x936,SECTION,HeaderGnbV8-module__NwxaWG__gnbViewport,1363,62,16px,400,24px,0px,normal,0px,visible
1363x936,NAV,HeaderGnbV8-module__NwxaWG__gnb,1920,62,16px,400,24px,0px,normal,0px,visible
1363x936,DIV,HeaderGnbV8-module__NwxaWG__brandWrap,220,62,16px,400,24px,0px,normal,0px,hidden
1363x936,A,HeaderGnbV8-module__NwxaWG__brand,220,62,16px,400,24px,0px,normal,0px,visible
1363x936,IMG,HeaderGnbV8-module__NwxaWG__brandImage,120,40,16px,400,24px,0px,normal,0px,clip
1363x936,DIV,HeaderGnbV8-module__NwxaWG__frame2,1560,62,16px,400,24px,0px,normal,0px,visible
1363x936,DIV,HeaderGnbV8-module__NwxaWG__frame1,1200,62,16px,400,24px,0px,normal,0px,visible
1363x936,DIV,HeaderGnbV8-module__NwxaWG__itemHoverZone,120,62,16px,400,24px,0px,normal,0px,visible
1363x936,A,GnbHoverLink-module__ePAc3W__gnbLink GnbHoverLink-module__ePAc3W__domestic,120,62,16px,400,24px,0px 12px,normal,0px,hidden
1363x936,SPAN,GnbHoverLink-module__ePAc3W__label,86.453,24,16px,900,24px,0px,normal,0px,visible
1363x936,A,GnbHoverLink-module__ePAc3W__gnbLink GnbHoverLink-module__ePAc3W__overseas GnbHoverLink-module__ePAc3W__isActive,120,62,16px,400,24px,0px 12px,normal,0px,hidden
1363x936,SPAN,GnbHoverLink-module__ePAc3W__badges,28,18,16px,400,24px,0px,normal,0px,visible
1363x936,EM,GnbHoverLink-module__ePAc3W__badge GnbHoverLink-module__ePAc3W__badgeNew,28,18,8px,900,8px,0px,normal,4px,hidden
1363x936,SPAN,GnbHoverLink-module__ePAc3W__badgeText,18.906,8,8px,900,8px,0px,normal,0px,visible
1363x936,A,GnbHoverLink-module__ePAc3W__gnbLink GnbHoverLink-module__ePAc3W__esports,120,62,16px,400,24px,0px 12px,normal,0px,hidden
